,sentence,metaphor,simile,question,reference,figure_of_speech,lists,repetition,personal_statement,value_statement,explicit_goal,believe_statement,It is a rare honor in this life to follow one of your heroes,0,0.1,0.2,0.3,0.4,0.5,0.6,1,0.7,0.8,0.9,Sentence,Metaphor refers to a word or phrase used to describe an object or action that is different from its original meaning. ,Lists are composed of at least three parts and usually a maximum of five. Can be explicit (using numbers) or implicit. ,The speaker clearly expresses that he/she truly believes that the vision and goal can be achieved. ,"Most of all, we must champion the American worker and the American small business",1.1,Oh my gosh! Oh my goodness! Thank you all so much,Unnamed: 13
56,That will help me and my staff.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
57,We have added so many staff to do contact tracing.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
58,"You know part of our life being able to get back to normal is going to rely on us being able to get in front of the spread, and a big part of that is contact tracing.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
59,"So please download that app, save us hundreds of hours and make sure that you’re helping us track the history of where you’ve gone and who you might’ve exposed to this virus if you ever do test positive.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
60,"I want to focus on something that I found incredibly encouraging, was a story that came out of Avira yesterday.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
61,Dr. Katherine Brockmeyer delivered 16 babies in a 24 hour shift.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
62,I think that was pretty incredible.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
63,I read that story.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
64,It was inspirational to me and it reminded me about the newness of life and that there are good things happening across the state and a lot to be thankful for that we can thank God for the miracle of life that is happening each and every day too.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
65,"So thank you to Dr. Brockmeyer and to all of our medical professionals for all that you are doing, taking care of people who are sick, but also what you’re doing to bring new lives into the world each and every day.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
66,"With that, I will open it up to any questions that you may have.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
0,Good afternoon.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1,Thank you all for joining us.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2,Today I’m joined by Kim Malsam-Rysdon who is our secretary of health.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
3,She’ll be available to help answer questions at the end of the opening statement that I’m going to give you on a few details.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
4,I wanted to give you a quick update on Smithfield.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
5,The CDC team did go through the plant yesterday.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
6,I listened in on a conference call.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
7,They had their first initial report of their walkthrough.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
8,They’re communicating with Smithfield officials as well and will complete their final assessment and generate a report for us over the weekend that we will look at early next week.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
9,They gave us some recommendations.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
10,I know that many of the proactive measures that they had thought of before they were on the ground Smithfield was already doing.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
11,That was encouraging to see that the proactive actions of Smithfield that were recognized as responsible and something that would be very helpful into the future.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
12,"They’re going to continue to enforce and put in place some infection control training, make sure that they have the protective personal equipment that they need in order to ensure that the employees are ready to get back to work when it’s time.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
13,We’ll look forward to releasing that report to you at the beginning of next week.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
14,"In the coming days, we’ll be working as well with them to develop a series of measures that the plant can take in order to safely reopen.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
15,"This work will involve the CDC, the US Food and Drug Administration, the Secretary of Agriculture Sonny Perdue and the South Dakota Department of Health and the city of Sioux Falls.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
16,Yesterday I was also on a phone call with President Trump and the other governors of the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
17,He lays out in that phone call and also on a release that his administration has already given to the United States a framework for how to reopen the country for the benefit of the economy.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
18,In South Dakota it looks different how we implement that because we took a different path.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
19,We did not mandate that our businesses would close.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
20,"We gave them the opportunity to be innovative, to take care of their customers while they protected their employees going through the spread of this virus.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
21,Now we trusted the people of South Dakota to take personal responsibility for those actions and they overperformed in a really big way.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
22,"In fact, just by the mitigation efforts that South Dakotans took, we have bent our curve by 75%.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
23,"We have had a 75% reduction in our projections, which was absolutely outstanding.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
24,I’m so thankful and grateful for everyone’s efforts in making sure they were following the guidelines.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
25,"Remember, I need you to maintain those guidelines for several more weeks in order to stay on course for the plan that we laid out with our healthcare systems and the Department of Health to help us get through this situation and have the capacity we need to take care of everybody.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
26,"That includes making sure that you are not in a group of over 10 people, that you social distance from people, you stay at least six feet away from individuals when you are out and about.",0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
27,"That you stay home at whenever it is possible, only go out for essential trips.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
28,"That you make sure you’re using good hygiene, washing your hands with soap and water.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
29,"Then if you are not feeling well, to make sure you reach out to your doctor.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
30,"Call them, do not go into the clinic.",0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
31,Do not go into the hospital or the emergency room.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
32,Call your doctor and they will walk through the protocols on what you should do.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
33,I do want to remind you to download the Care19 app.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
34,That’s incredibly helpful for our team.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
35,If you would do that and turn on the location services so that it can do contact tracing and help our team be much more efficient in taking care of people here.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
36,I want to end with just thanking a few folks because every day we see the actions of people that are stepping up and going above and beyond that’s making a world of difference for everybody in our state.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
37,"First of all, to our teachers.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
38,We have stretched our teachers to new levels asking them to deliver everything that they do every single day in a classroom long distance.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
39,We have many teachers that have figured out new ways to use technology in remote areas.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
40,They’ve done individualized lesson plans for kiddos that need IEPs or special kinds of accommodations made for their learning processes.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
41,We have teachers that are going above and beyond to communicate with their classes and thinking of ways to make it fun for their kids and their students that are at home and often bored and looking for an opportunity to stay busy.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
42,I want to thank our parents as well because many of them are learning how to be teachers.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
43,They’re doing their work remotely in a difficult situation.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
44,There’s also taking the time to educate their kids and make sure that they don’t fall behind.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
45,Our healthcare professionals are on the front line.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
46,"What they do and sacrifice each and every day I hope you all recognize and take the opportunity to thank them when you work with them, when you run across them.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
47,"Even if you’re related to them, just give them a few words of encouragement that we can get through this and that we do appreciate what they do to keep us safe.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
48,We also have a lot of healthcare professionals in the state of South Dakota that aren’t working because we can’t spare the protective equipment for them to do the elective work that they do.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
49,I’m talking about optometrists or chiropractors or even massage therapists or dentists.,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
50,A lot of these folks through no fault of their own had to shut down their businesses and quit doing their normal appointments so that we could save some of the supplies that we might need to deal with the virus.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
51,I want to thank them for making those sacrifices.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
52,We have community support providers.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
53,These are a lot of folks that work with our vulnerable population.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
54,They work with people that need special care in our nursing homes and making sure that they’re well taken care of.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
55,They’re taking extra steps each and every day that a lot of us don’t have to make that vulnerable population can stay healthy.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
56,"Our police, our first responders, correctional officers, they’re all keeping our state safe.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
57,"We haven’t seen the kind of unrest or lawlessness that some states have experienced and that’s because our police officers, correctional officers, all those folks showed up every single day and did their jobs and didn’t even think once about protecting themselves and staying home throughout this incident.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
58,"Our small businesses are innovating, they’re being creative.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
59,We’ve been taking notes in all of our agencies and our employees on the unique things that they’re doing that I think we’ll learn long term about ways that we can be more efficient in the future and ways that we can change our business models to help our folks survive.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
60,Our economic development team has been working overtime to get help out to these small businesses.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
61,I want to thank them for continuously taking those phone calls from hundreds and hundreds of business owners who are at many times literally in tears because they see the work of their lifetime drifting away from them in these few short months.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
62,"Our Department of Labor employees who have had unprecedented applications they’ve had to deal with for people who are signing up for reemployment and unemployment benefits that are at levels that the state has never seen before, hundreds of times of increases from our most historical levels in the past.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
63,We have an Emergency Operations Center which is always manned with individuals from agencies and departments that have stepped up and committed and put in more and more time.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
64,That Emergency Operations Center is the first line of organizational attack on how we get people out to help meet the needs of every single community in this state.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
65,The folks that are there and doing that are professionals.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
66,They’re trained in it.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
67,They know the federal programs.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
68,They know how to make it work here on the ground in South Dakota.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
69,I’m so impressed by their professionalism and their steadfast work each and every day.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
70,"Our Department of Health, boy, these folks are just experts.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
71,"Experts at not just knowing the science and the data, but working with people and caring for not just their bodies, but also their minds, their hearts and their spirits as they go through this situation.",0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
72,It’s not every day that we have a pandemic that we have to deal with or that our Department of Health has to deal with.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
73,They have done it in a manner of which I’m very proud and humbled by the actions they take each day to care for people and put public health first.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
74,Our Department of Social Services is being asked to do a lot more than they typically have to.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
75,"Social Services deals with helping to build strong families, ensuring benefits like food and also making sure that mental health is doing well across the state.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
76,"If you can imagine with all of this time spent at home isolated from people, feeling disconnected from the world, struggling to put food on the table, a roof over people’s heads and also situations where finances are going away, the Department of Social Services has been asked to do more and more to try to bring stability in a very unstable time.",0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
77,"All of our state employees, I’ve asked you to completely change your lives and your daily routines.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
78,You haven’t complained once.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
79,"So many of you are volunteering and stepping up and answering calls, detailed out to different agencies to lend a hand where it’s possible.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
80,"I’m just humbled by your work, by your heart for people.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
81,You all truly are public servants.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
82,"The people of South Dakota, the nation is watching you.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
83,They’re seeing how you’re responding.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
84,They’re impressed.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
85,They’re impressed with the fact that you understand what we’re facing and it doesn’t daunt you.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
86,"That each day you wake up strong, ready to make good decisions for you and your family and you’re taking personal responsibility for keeping them safe.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
87,I want to thank you for that.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
88,"I want to thank you for having some grace as you approach each other, encouraging each other throughout this, giving people a reason to smile because this is a special place.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
89,It’s why people live here is because of the people that we do have.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
90,It’s why I love the state of South Dakota.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
91,"With that, we will open it up for any questions that you may have.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
0,Good afternoon.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1,Thank you all for joining us.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2,Today I’m joined by Kim Malsam-Rysdon who is our secretary of health.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
3,She’ll be available to help answer questions at the end of the opening statement that I’m going to give you on a few details.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
4,I wanted to give you a quick update on Smithfield.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
5,The CDC team did go through the plant yesterday.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
6,I listened in on a conference call.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
7,They had their first initial report of their walkthrough.,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
8,They’re communicating with Smithfield officials as well and will complete their final assessment and generate a report for us over the weekend that we will look at early next week.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
9,They gave us some recommendations.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
10,I know that many of the proactive measures that they had thought of before they were on the ground Smithfield was already doing.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
11,That was encouraging to see that the proactive actions of Smithfield that were recognized as responsible and something that would be very helpful into the future.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
12,"They’re going to continue to enforce and put in place some infection control training, make sure that they have the protective personal equipment that they need in order to ensure that the employees are ready to get back to work when it’s time.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
13,We’ll look forward to releasing that report to you at the beginning of next week.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
14,"In the coming days, we’ll be working as well with them to develop a series of measures that the plant can take in order to safely reopen.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
15,"This work will involve the CDC, the US Food and Drug Administration, the Secretary of Agriculture Sonny Perdue and the South Dakota Department of Health and the city of Sioux Falls.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
16,Yesterday I was also on a phone call with President Trump and the other governors of the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
17,He lays out in that phone call and also on a release that his administration has already given to the United States a framework for how to reopen the country for the benefit of the economy.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
18,In South Dakota it looks different how we implement that because we took a different path.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
19,We did not mandate that our businesses would close.,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
20,"We gave them the opportunity to be innovative, to take care of their customers while they protected their employees going through the spread of this virus.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
21,Now we trusted the people of South Dakota to take personal responsibility for those actions and they overperformed in a really big way.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
22,"In fact, just by the mitigation efforts that South Dakotans took, we have bent our curve by 75%.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
23,"We have had a 75% reduction in our projections, which was absolutely outstanding.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
24,I’m so thankful and grateful for everyone’s efforts in making sure they were following the guidelines.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
25,"Remember, I need you to maintain those guidelines for several more weeks in order to stay on course for the plan that we laid out with our healthcare systems and the Department of Health to help us get through this situation and have the capacity we need to take care of everybody.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
26,"That includes making sure that you are not in a group of over 10 people, that you social distance from people, you stay at least six feet away from individuals when you are out and about.",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
27,"That you stay home at whenever it is possible, only go out for essential trips.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
28,"That you make sure you’re using good hygiene, washing your hands with soap and water.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
29,"Then if you are not feeling well, to make sure you reach out to your doctor.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
30,"Call them, do not go into the clinic.",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
31,Do not go into the hospital or the emergency room.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
32,Call your doctor and they will walk through the protocols on what you should do.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
33,I do want to remind you to download the Care19 app.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
34,That’s incredibly helpful for our team.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
35,If you would do that and turn on the location services so that it can do contact tracing and help our team be much more efficient in taking care of people here.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
